,Top 10 Tracks,Total Play Duration (minutes),Average Play Duration (minutes)
0,Yêu Được Không,720.7695,9.740128378378378
1,Keep You Mine,364.4056,2.8921079365079363
2,Safe With Me (with Audrey Mika),356.2388666666667,3.1807041666666667
3,Oceans & Engines,354.57188333333335,5.5401856770833335
4,trời giấu trời mang đi,295.0458,4.041723287671233
5,she's all i wanna be,272.87373333333335,3.3277284552845527
6,Em Gái Mưa,271.7873,4.529788333333333
7,Fast Lane,267.7595333333333,2.5024255451713397
8,Ánh Nắng Của Anh - Chờ Em Đến Ngày Mai Original Soundtrack,257.20118333333335,4.592878273809523
9,There For You,239.68136666666666,3.5247259803921565
